"","Class1","Class2","Pixels"
"1","Water","Water",110
"2","Water","Built-up",0
"3","Water","Vegetation",0
"4","Water","Cropland",0
"5","Water","Callery",0
"6","Water","Wetland",1
"7","Water","Barren/Sand",4
"8","Built-up","Water",0
"9","Built-up","Built-up",110
"10","Built-up","Vegetation",2
"11","Built-up","Cropland",0
"12","Built-up","Callery",5
"13","Built-up","Wetland",2
"14","Built-up","Barren/Sand",0
"15","Vegetation","Water",0
"16","Vegetation","Built-up",0
"17","Vegetation","Vegetation",101
"18","Vegetation","Cropland",0
"19","Vegetation","Callery",14
"20","Vegetation","Wetland",8
"21","Vegetation","Barren/Sand",0
"22","Cropland","Water",0
"23","Cropland","Built-up",1
"24","Cropland","Vegetation",0
"25","Cropland","Cropland",111
"26","Cropland","Callery",1
"27","Cropland","Wetland",2
"28","Cropland","Barren/Sand",0
"29","Callery","Water",1
"30","Callery","Built-up",0
"31","Callery","Vegetation",8
"32","Callery","Cropland",3
"33","Callery","Callery",104
"34","Callery","Wetland",3
"35","Callery","Barren/Sand",0
"36","Wetland","Water",1
"37","Wetland","Built-up",0
"38","Wetland","Vegetation",5
"39","Wetland","Cropland",2
"40","Wetland","Callery",1
"41","Wetland","Wetland",82
"42","Wetland","Barren/Sand",0
"43","Barren/Sand","Water",4
"44","Barren/Sand","Built-up",4
"45","Barren/Sand","Vegetation",1
"46","Barren/Sand","Cropland",0
"47","Barren/Sand","Callery",2
"48","Barren/Sand","Wetland",0
"49","Barren/Sand","Barren/Sand",32
