"","system:index","ARVI","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","BAI","BSI","Chlogreen","Class","EVI","EVI2","EVI2_2","GI","LAnthoC","LCaroC","LChloC","MNDSI","MSI","NBR","NDBI","NDMI","NDTI","NDVI","NDVIre","NDWI2","NDrededgeSWIR","NHI","Norm-G","Norm-NIR","Norm-R","RTVIScore","ReCL","RedSWIR1","RededgePeakArea","SAVI","SR-BlueRedEdge1","SR-BlueRedEdge2","SR-BlueRedEdge3","SR-NIRNarrowBlue","SR-NIRNarrowGreen","SR-NIRNarrowRed","SR-NIRNarrowRedEdge1","SR-NIRNarrowRedEdge2","SR-NIRNarrowRedEdge3","STI","VARI","WBI","constant","gNDVI","sample",".geo"
"1","000000000000000004b3_0",0.525189283634246,1129.66666666667,582.25,143,277.5,271.75,498.25,1122,1348,1602.83333333333,1537,-0.829761904761905,-0.109434162099187,1.98130841121495,2,1.5392992059209,1.70325676456214,1.47502622597184,1.02115915363385,-6.10645526613817,-3.7945109078114,2.70546914199699,0.310427968655817,0.734981565820863,0.467068380305862,-0.173162549557792,0.173162549557792,0.31976829090201,0.710068904200933,0.525720858287391,-0.704839567452579,0.316708229426434,0.605590429941964,0.128944820909971,0.744782187802517,0.126272991287512,91280,4.8981907390371,-857.916666666667,4777,1.04898438579522,0.287004515805319,0.127450980392157,0.106083086053412,10.7482517482517,5.53873873873874,5.65593376264949,3.08479678876066,1.3698752228164,1.14020771513353,1.94017460998998,0.0141538461538462,-0.310427968655817,0,0.694130614494351,"test","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"2","0000000000000000035a_0",0.683111421649612,1207.625,649,113.666666666667,270.333333333333,202.2,588.25,1482.33333333333,1739.33333333333,2034.25,1972,-0.891002077673006,-0.207460725319667,2.29680675531399,2,1.91161126066905,1.96514782453239,1.81712774694211,1.3369601055061,-5.47103538663172,-3.66496927129061,2.956792746848,0.280287040945547,0.612385902636917,0.516258268890338,-0.25498361287835,0.25498361287835,0.300881976705043,0.81917771468175,0.551382268827455,-0.765395046103779,0.390991554582421,0.634180034394294,0.107840725498148,0.811498135060203,0.0806611394416483,121358.333333333,9.06058358061325,-1005.425,5984.11666666667,1.22072009932404,0.193228502620768,0.0766809084776254,0.0653507090839402,17.3489736070381,7.29469790382244,9.75272007912958,3.3523161920952,1.33033505734203,1.13376772709851,1.86074730354391,0.189856957087126,-0.280287040945547,0,0.758882116842575,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"3","0000000000000000042b_0",0.375022006267385,1493.75,795,184.5,322.5,443.75,691.5,1298.83333333333,1515,1768.1,1788.66666666667,-0.8129909620745,-0.00388164828667641,1.76397107166338,2,1.08629853831389,1.43635583071604,1.16822800889171,0.726760563380282,-4.10569105691057,-2.98816568047337,2.19088937093276,0.412654198169518,0.835119269474469,0.37965744606141,-0.0841087113141315,0.0841087113141315,0.305297651556526,0.598752175780455,0.437713449341356,-0.691476131254185,0.240627238716867,0.644872677219546,0.127251563517273,0.697654230867875,0.175094205614852,95055,2.98445070422535,-1050,5737.75,0.903470796790446,0.266811279826464,0.14205055819325,0.121782178217822,9.69467028003613,5.54625322997416,4.03079812206573,2.58664738491203,1.37713332477865,1.18063806380638,1.87893081761006,-0.208422862054147,-0.412654198169518,0,0.694481724165154,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"4","0000000000000000042c_0",0.632228405516574,997,468,122,247.666666666667,190,485.25,1220,1423.5,1564.5,1612.5,-0.859325454021332,-0.173829824256134,2.20011370096646,2,1.9191566601508,1.87912275704927,1.69985159534999,1.30350877192982,-5.99158190108734,-3.91878871300757,2.93353941267388,0.217948717948718,0.618294573643411,0.539483394833948,-0.221549873121218,0.221549873121218,0.361092150170648,0.783414078084924,0.526527625320161,-0.726662374689598,0.445497630331754,0.602035350830209,0.123699325730459,0.781403479563806,0.0948971947057354,99076.6666666667,7.23421052631579,-807,4931.25,1.18344425956739,0.251416795466255,0.1,0.0857042500878117,13.2172131147541,6.51076716016151,8.48684210526316,3.32302936630603,1.32172131147541,1.13277133825079,2.13034188034188,0.182682154171067,-0.217948717948718,0,0.733715616880208,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"5","00000000000000000430_0",0.247991430101767,1688,1126,354.333333333333,454.333333333333,585,737,1049,1219.66666666667,1587.33333333333,1525.66666666667,-0.623049645390071,0.0786143625434989,1.28063794068271,2,1.02663024923182,1.10687116564417,0.837417845605436,0.776638176638177,-4.31485849056604,-3.18728222996516,1.65490728177295,0.245564229950319,1.10640157308281,0.17002457002457,0.0307347852635864,-0.0307347852635864,0.199715707178394,0.461408623599816,0.365839667288111,-0.554938775510204,-0.0354022988505747,0.575851874902754,0.172969543147208,0.604314720812183,0.222715736040609,68153.3333333333,1.71339031339031,-1103,5116.33333333333,0.668350832872819,0.480777928539123,0.337782014617096,0.290516534572287,4.30573847601129,3.35803374908291,2.60797720797721,2.07010402532791,1.45440101684144,1.25088822082536,1.49911190053286,-0.190754257907542,-0.245564229950319,0,0.541077441077441,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"6","00000000000000000813_0",0.254762403181913,1221,846.333333333333,332.5,421,445,658.333333333333,894,1009.5,1166,1130,-0.545299145299145,0.0529309527571496,1.04694255713403,5,1.34189465847757,1.07344913151365,0.806487695749441,0.946067415730337,-4.25351123595506,-3.09820971867008,1.53341772151899,0.144694533762058,1.08053097345133,0.15885373529899,0.0230414746543779,-0.0230414746543779,0.1812318606901,0.447548106765984,0.278275169011511,-0.469439193446755,0.0273893890059375,0.48721071863581,0.207185039370079,0.573818897637795,0.218996062992126,40076.6666666667,1.62022471910112,-776,4136.83333333333,0.652173913043478,0.50506329113924,0.371923937360179,0.32937097573056,3.3984962406015,2.68408551068884,2.53932584269663,1.71645569620253,1.26398210290828,1.11936602278356,1.44269397400551,-0.0449859418931584,-0.144694533762058,0,0.45712443584784,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"7","00000000000000000814_0",0.209085614443797,1030,717,274,313,339.5,539.75,668.333333333333,748.5,764,875.2,-0.523146536721197,0.137694704049844,1.02632659044269,5,1.42068273092369,0.922408329560887,0.671762248385872,0.921944035346097,-3.30099228224917,-2.81655691439323,1.38675312644743,0.106764466177669,1.17687385740402,0.0317353139770425,0.148272017837235,-0.148272017837235,0.179164281625644,0.384685092886271,0.172003835091083,-0.418755803156917,-0.0351299326275264,0.533879374534624,0.220967172608542,0.539357571478998,0.23967525591246,27923,1.25036818851252,-690.5,3171.28333333333,0.661249177090191,0.50764242704956,0.40997506234414,0.366065464261857,3.19416058394161,2.7961661341853,2.5779086892489,1.62149143121816,1.30952618453865,1.16927187708751,1.43654114365411,-0.0700132100396301,-0.106764466177669,0,0.473152667901027,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"8","000000000000000008da_0",0.190474862671835,1925.33333333333,1187,364.25,468.333333333333,604.833333333333,865.5,1083,1219,1414.66666666667,1527.33333333333,-0.614872901889951,0.174341023806301,1.14507059852555,5,0.875385086565659,0.96194011383321,0.706102211165105,0.774317993937724,-3.06924045321024,-2.43192019950125,1.40843443096476,0.248258663685614,1.26058489742471,0.0875080076873799,0.152894211576846,-0.152894211576846,0.237228231766092,0.401006849880333,0.240844967473138,-0.5025668259869,-0.0458149779735683,0.608689597549088,0.188249480806592,0.568634018891941,0.243116500301467,55593.3333333333,1.33893634610085,-1320.5,5299.66666666667,0.648835573616755,0.420854997111496,0.336334256694368,0.298810500410172,4.19309082589796,3.26120996441281,2.52521355745384,1.76468322742153,1.41028008618036,1.25293956795187,1.62201628755967,-0.192547313976725,-0.248258663685614,0,0.530649741105729,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"9","000000000000000008dc_0",0.260606987233392,2028.5,1225,288.25,429.333333333333,604.5,918.5,1363.33333333333,1562.83333333333,1773,1936,-0.740811509497583,0.121797944293551,1.43637937430444,5,0.901863929301895,1.17906243430734,0.905870131481022,0.710228839261097,-3.19488926746167,-2.47970382123496,1.70150607875159,0.354242509101092,1.04777892561983,0.182788525683789,0.0672103117190583,-0.0672103117190583,0.246964807130782,0.491482649842271,0.317480958573286,-0.610110488875435,0.0534449452672247,0.650640808299993,0.152960038002494,0.631672703521169,0.215367258476338,86683.3333333333,1.93300248138958,-1424,6385.16666666667,0.786009445100354,0.313826891671203,0.211430317848411,0.184440652660766,6.71639202081526,4.50931677018634,3.20264681555004,2.10778443113772,1.4200488997555,1.23877572784473,1.65591836734694,-0.234939085727059,-0.354242509101092,0,0.636978579481398,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"10","00000000000000000148_0",-0.302175664786463,91,65,296,513,404,341,132,158,137,109,0.461728395061728,0.0668103448275862,0.127634660421546,0,-1.95175438596491,-1.18228782287823,-0.602654387865656,1.26980198019802,0.918604651162791,-3.51111111111111,0.463343108504399,0.154285714285714,0.834862385321101,0.356435643564356,-0.201754385964912,0.201754385964912,0.166666666666667,-0.493530499075786,-0.426778242677824,0.578461538461538,0.34010152284264,-0.698675496688742,0.486717267552182,0.129981024667932,0.383301707779886,-19160,-0.660891089108911,313,1144,-0.861733203505355,0.868035190615836,2.24242424242424,1.87341772151899,0.368243243243243,0.212475633528265,0.26980198019802,0.319648093841642,0.825757575757576,0.689873417721519,1.4,0.175523349436393,-0.154285714285714,0,-0.64951768488746,"test","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
