system:index,Class,pc1,pc2,.geo
00000000000000000121_0,0,-0.7104841619249586,-0.8444005415603344,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000122_0,0,-0.7104841625974876,-0.844400520407468,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123_0,0,-0.7104841462345599,-0.844400675207529,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124_0,0,-0.7104841563438262,-0.844400528824728,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000125_0,0,-0.7104841569129176,-0.8444004649611623,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126_0,0,-0.7104841608371173,-0.8444004824804021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127_0,0,-0.7104841616645545,-0.8444005208541591,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0,0,-0.7104841262274187,-0.8444007881758234,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129_0,0,-0.7104841624772935,-0.8444005082621243,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a_0,0,-0.7104841619283988,-0.8444005353505025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b_0,0,-0.7104841617825048,-0.844400543220448,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c_0,0,-0.7104841630834764,-0.8444005175924271,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d_0,0,-0.5357642721965208,2.1227202359241906,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e_0,0,-0.2136803935334943,-5.903685431407989,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f_0,0,-0.710484160231221,-0.8444005511875622,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130_0,0,-0.7104841503911932,-0.8444005003505863,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131_0,0,-0.45519959634951696,-3.984809318192761,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132_0,0,-0.6592208344560653,-0.8040293397477527,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133_0,0,-0.710483572197802,-0.8443729365897813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0,0,-0.7104841613371997,-0.8444005420109768,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135_0,0,-0.7104841617892784,-0.8444005345491096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_0,0,-0.6998681813032275,-1.0072705246464806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_0,0,-0.7086645896641527,-0.8112860991878715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_0,0,-0.7104841589206532,-0.8444005792058829,"{""type"":""MultiPoint"",""coordinates"":[]}"
