system:index,Class,Sentinel_RVI,Sentinel_Span,VH,VV,VVVH_Ratio,.geo
00000000000000000121_0,0,2.5910226843360302,1199.0216661198485,-27.86885508918024,-20.55112118932009,0.5437919645327346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000122_0,0,2.4271331317106584,1217.627772942542,-27.181541116168827,-21.88130698775933,0.6480348555008086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123_0,0,2.210899681678937,1279.423970128858,-26.59265898838575,-23.921840607618062,0.8092182260221037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124_0,0,2.322654813831742,1282.8948754731528,-27.29341476509394,-23.19405928106818,0.7221672269936228,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000125_0,0,2.4804988418846445,1291.0215123519783,-28.294775870455506,-22.145590323869605,0.6125788621456729,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126_0,0,2.3061116689197934,1200.7694584374797,-26.311159513527585,-22.549774799123526,0.7345213824244865,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127_0,0,2.493417132767417,1161.2222136231092,-26.904513387152935,-20.913377848248658,0.6042241578569898,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0,0,2.3767238935967594,1242.4987689667119,-27.171108332048878,-22.45505824919579,0.6829889289103304,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129_0,0,2.4235626128937753,1181.3142786897638,-26.753453608413295,-21.577001615429367,0.650462826385959,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a_0,0,2.228019365049282,1253.0092941392022,-26.418407275651926,-23.56007324175762,0.7953165321395321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b_0,0,2.3156568605356944,1177.9671143144544,-26.11401745111091,-22.271623355236798,0.7273716448103873,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c_0,0,2.2865690443204345,1287.3224971915413,-27.12725461660034,-23.48264367905958,0.7493458200772569,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d_0,0,2.394239666795626,1058.1013447009263,-25.16618868130785,-20.60981057549387,0.6706765222687471,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e_0,0,2.6355955830220332,540.8751388435417,-18.878083370025063,-13.582823974340712,0.5176835269292378,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f_0,0,2.4550751559813295,1192.8241831201087,-27.057683832101663,-21.46406132963035,0.6292780244444864,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130_0,0,2.1785962040477194,1270.527595531546,-26.305734150384886,-24.052774192197045,0.836044693628037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131_0,0,2.519016528017698,742.3329083259262,-21.62145268803911,-16.57847073721857,0.587921300043132,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132_0,0,2.5482030337168684,815.8481473896288,-22.7977341211278,-17.20788965364417,0.5697336307482165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133_0,0,2.359784740023443,1074.7558074459635,-25.18031152340335,-20.993039775847706,0.6950698647031097,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0,0,2.343545497358643,1224.388825508884,-26.783441335261525,-22.517462018386716,0.7068155939401685,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135_0,0,2.185663682511173,1386.806278482207,-27.527677515352778,-25.08053526328631,0.8301077297511222,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_0,0,2.6870812330229876,1023.2158808373599,-26.217666709344844,-18.326206185543995,0.4886040477086612,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_0,0,2.450827281232532,1120.2176829892046,-26.198568941781147,-20.829130284098394,0.6321019561967589,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_0,0,2.2129569881771367,1199.7422752552325,-25.763239567441847,-23.151625477400742,0.8075362609261063,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139_0,0,2.323562669470584,1272.2099520187,-27.1848282698255,-23.091016953759237,0.7214943468305017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_0,0,2.219143949780824,1245.7291429047373,-26.28902951110358,-23.550288114353556,0.8024968593835761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_0,0,2.3978783213313677,1190.2302412388972,-26.71154849900954,-21.833996840339566,0.6681413583067427,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0,0,2.3464113685218417,1239.785975416029,-26.967795178926433,-22.63899287962036,0.7047309153295922,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_0,0,2.296699819886081,1189.7697433966243,-26.1368702954511,-22.508526263516018,0.7416294307883929,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_0,0,2.2549420599683536,1171.2902510392287,-25.696262624646643,-22.60513964045382,0.7738814983370959,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f_0,0,2.5784136339771426,1130.3810985204746,-26.993471599700044,-20.04329288107774,0.5513414710851079,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140_0,0,2.6275621122592523,1039.1154049401164,-26.126329001055527,-18.882010959342264,0.5223236708039938,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141_0,0,2.187121062335688,1234.258899359636,-25.978229516100228,-23.651437389056397,0.8288882444066846,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_0,0,2.215392486960517,1155.5222767137122,-25.297901940413308,-22.705471457931562,0.805549140183253,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143_0,0,2.2880896881009356,1142.8915942792285,-25.568723430626825,-22.116328275899306,0.7481832206148844,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_0,0,2.2691522280567837,1208.87615966542,-26.18742079295666,-22.87127350800652,0.7627728763818763,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0,0,2.3699342676917983,1285.6471661686774,-27.599362652351232,-22.88935008585166,0.6878105247601687,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_0,0,2.52869102315454,1188.8625757422215,-27.414713763979645,-20.911624637538008,0.5818460869173346,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_0,0,2.4274083536061903,1153.1555798930845,-26.453636270086122,-21.29226873733911,0.647847999722645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0,0,2.111041874734645,1165.6721082622685,-24.80313807138053,-23.462234549895335,0.8947989842706436,"{""type"":""MultiPoint"",""coordinates"":[]}"
